ID;DATE;DAY;MONTH;YEAR;CYCLONE;NAME;CANTON;DISTRICT;COMMUNITY;INUN;DESL;STORM;STR_WIND;INFR_VIAL;D_VIV;D_AGROP;MUERT;ALCAN;D_VAR;D_ELEC/COM;P_NAV/AVI;C_ARBOL;ENFER/HERI;BEN_AGRI;AGUA_P;T_AFEC;PER$;PERLOCAL;x_coord;y_coord
1988-104-1;13/9/1988;13;9;1988;Huracan;Gilbert;Perez Zeledon;Rivas;Rivas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;-83.6596883320914;9.41935812120125
1988-104-2;13/9/1988;13;9;1988;Huracan;Gilbert;Perez Zeledon;Rivas;Buena Vista;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;-83.663761130804;9.50019348973301
1988-108;16/9/1988;16;9;1988;Huracan;Gilbert;Perez Zeledon;Rivas;;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;-83.7098166530878;9.55168744216555
1993-113;15/9/1993;15;9;1993;Tormenta Tropical;Gert;Perez Zeledon;Pejibaye;;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;180;0;0;-83.5741321740253;9.1567374901075
1996-153;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;Platanares;La Union;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;-83.6442210970275;9.20621166624383
1996-188;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;Baru;Baru;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-83.8525108676131;9.28120192739595
1996-189;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;Cajon;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-83.603183600337;9.25256355541511
1996-190;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;Daniel Flores;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-83.6468478719362;9.31562507234471
1996-191;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;San Pedro;La Union;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;-83.5392904356238;9.27157127697566
1996-192;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;Platanares;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-83.6390105943844;9.20644648257641
1996-193;25/7/1996;25;7;1996;Huracan;Cesar;Perez Zeledon;Rio Nuevo;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-83.7824396773968;9.40988402633051
